text,intent,language
BN: Our house is flooding,natural_disaster,bn
BN: The bridge has collapsed,natural_disaster,bn
FR: Something feels wrong,other_emergency,fr
HI: Our house is flooding,natural_disaster,hi
Loud noises are coming from outside,other_emergency,en
FR: Everyone is running,other_emergency,fr
BN: Water is entering the house,natural_disaster,bn
Child is vomiting and dizzy,medical_help,en
FR: Loud noises are coming from outside,other_emergency,fr
BN: I’m being followed,police_assistance,bn
BN: The fire alarm is ringing,fire_emergency,bn
I need an ambulance,medical_help,en
ES: There is heavy smoke everywhere,fire_emergency,es
HI: The bridge has collapsed,natural_disaster,hi
ES: I just witnessed a crime,police_assistance,es
BN: Lightning struck nearby,natural_disaster,bn
BN: My child is missing,lost_person,bn
ES: Nobody is responding,other_emergency,es
BN: My mom is not breathing,medical_help,bn
HI: I don’t know what’s happening,other_emergency,hi
BN: My kitchen is on fire,fire_emergency,bn
HI: We need a doctor immediately,medical_help,hi
Lightning struck nearby,natural_disaster,en
A child got lost at the station,lost_person,en
Someone is looking for their daughter,lost_person,en
BN: Child is vomiting and dizzy,medical_help,bn
FR: My mom is not breathing,medical_help,fr
A man collapsed on the road,medical_help,en
I don’t know what’s happening,other_emergency,en
FR: My car was vandalized,police_assistance,fr
FR: A man collapsed on the road,medical_help,fr
HI: The forest is burning,fire_emergency,hi
BN: Everyone is running,other_emergency,bn
HI: Someone stole my phone,police_assistance,hi
BN: The power socket exploded,fire_emergency,bn
FR: An old man is wandering alone,lost_person,fr
We can't find our son,lost_person,en
We lost our uncle during the event,lost_person,en
BN: She went to the market and didn’t come back,lost_person,bn
FR: We need help right now,other_emergency,fr
ES: A person is having a seizure,medical_help,es
FR: There is a storm coming,natural_disaster,fr
HI: I’m being followed,police_assistance,hi
I just witnessed a crime,police_assistance,en
ES: Our house is flooding,natural_disaster,es
BN: There is a storm coming,natural_disaster,bn
BN: The landslide blocked the road,natural_disaster,bn
BN: A person is having a seizure,medical_help,bn
A person is having a seizure,medical_help,en
ES: Everyone is running,other_emergency,es
The power socket exploded,fire_emergency,en
HI: The fire alarm is ringing,fire_emergency,hi
ES: The situation is very bad,other_emergency,es
ES: There’s a robbery going on,police_assistance,es
BN: My mother hasn’t returned,lost_person,bn
ES: She went to the market and didn’t come back,lost_person,es
HI: Loud noises are coming from outside,other_emergency,hi
Flames are visible outside,fire_emergency,en
I lost my friend in the crowd,lost_person,en
ES: We lost our uncle during the event,lost_person,es
BN: Nobody is responding,other_emergency,bn
He is missing since morning,lost_person,en
HI: I lost my friend in the crowd,lost_person,hi
FR: There’s smoke coming from the window,fire_emergency,fr
HI: A man collapsed on the road,medical_help,hi
ES: My house was broken into,police_assistance,es
BN: We can't find our son,lost_person,bn
BN: There’s a robbery going on,police_assistance,bn
HI: Someone fainted here,medical_help,hi
